GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0016787	hydrolase activity	4	256	1.56%	2440	18890	12.92%	ATP5F1EP2, MOGS, PGAM1, SLFN13
GO:0042393	histone binding	3	256	1.17%	251	18890	1.33%	CBX2, CBX8, LEF1
GO:0008092	cytoskeletal protein binding	3	256	1.17%	998	18890	5.28%	GJB6, MYO3B, SPAG6
GO:0008289	lipid binding	3	256	1.17%	815	18890	4.31%	IRX5, NR2F2, NR5A2
GO:0016829	lyase activity	2	256	0.78%	202	18890	1.07%	GAD1, GAD2
GO:0045182	translation regulator activity	2	256	0.78%	59	18890	0.31%	IGF2BP1, IGF2BP3
GO:0016853	isomerase activity	2	256	0.78%	169	18890	0.89%	PGAM1, PGM5
GO:0005198	structural molecule activity	2	256	0.78%	712	18890	3.77%	NUP133, PGM5
GO:0003774	cytoskeletal motor activity	1	256	0.39%	114	18890	0.60%	MYO3B
GO:0048018	receptor ligand activity	1	256	0.39%	487	18890	2.58%	ADCYAP1
GO:0140657	ATP-dependent activity	1	256	0.39%	565	18890	2.99%	TMEM30B
GO:0016874	ligase activity	1	256	0.39%	175	18890	0.93%	ATP5F1EP2
GO:0016209	antioxidant activity	1	256	0.39%	86	18890	0.46%	GPX8
GO:0140098	catalytic activity, acting on RNA	1	256	0.39%	403	18890	2.13%	SLFN13
GO:0016491	oxidoreductase activity	1	256	0.39%	739	18890	3.91%	GPX8
GO:0140223	general transcription initiation factor activity	1	256	0.39%	51	18890	0.27%	GTF3C2
GO:0140299	molecular sensor activity	0	256	0%	18	18890	0.10%	none
GO:0009975	cyclase activity	0	256	0%	22	18890	0.12%	none
GO:0038024	cargo receptor activity	0	256	0%	79	18890	0.42%	none
GO:0045735	nutrient reservoir activity	0	256	0%	0	18890	0.00%	none
GO:0044183	protein folding chaperone	0	256	0%	43	18890	0.23%	none
GO:0090729	toxin activity	0	256	0%	0	18890	0.00%	none
GO:0003924	GTPase activity	0	256	0%	340	18890	1.80%	none
GO:0120274	virus coreceptor activity	0	256	0%	1	18890	0.01%	none
GO:0140097	catalytic activity, acting on DNA	0	256	0%	236	18890	1.25%	none
GO:0001618	virus receptor activity	0	256	0%	78	18890	0.41%	none
GO:0140313	molecular sequestering activity	0	256	0%	6	18890	0.03%	none
GO:0140104	molecular carrier activity	0	256	0%	72	18890	0.38%	none
GO:0098631	cell adhesion mediator activity	0	256	0%	64	18890	0.34%	none
GO:0031386	protein tag activity	0	256	0%	14	18890	0.07%	none

